from_city;to_city;migration
TOKAT;BITLIS;133
MUGLA;GAZIANTEP;133
RIZE;BARTIN;132
GAZIANTEP;HAKKARI;132
MARDIN;NIGDE;132
OSMANIYE;YALOVA;132
ADIYAMAN;NEVSEHIR;132
USAK;VAN;132
CANAKKALE;TRABZON;132
KUTAHYA;VAN;132
SIIRT;ADIYAMAN;132
BAYBURT;KASTAMONU;132
DIYARBAKIR;NIGDE;132
BURSA;BINGOL;132
ZONGULDAK;GAZIANTEP;131
MANISA;CORUM;131
GUMUSHANE;KUTAHYA;131
SINOP;ISPARTA;131
ESKISEHIR;KAHRAMANMARAS;131
KIRSEHIR;BARTIN;131
RIZE;BILECIK;131
ARDAHAN;DUZCE;131
AKSARAY;USAK;131
BITLIS;AFYONKARAHISAR;131
MARDIN;TRABZON;131
CANKIRI;AGRI;131
MALATYA;HAKKARI;131
AYDIN;SIRNAK;131
GAZIANTEP;CORUM;130
ARDAHAN;DIYARBAKIR;130
RIZE;KARS;130
HATAY;KIRSEHIR;130
BURDUR;KAYSERI;130
IZMIR;GUMUSHANE;130
ESKISEHIR;ORDU;130
KARAMAN;KAHRAMANMARAS;130
SAMSUN;ARDAHAN;130
BAYBURT;KAYSERI;130
AMASYA;BURDUR;130
AYDIN;ELAZIG;130
EDIRNE;MARDIN;130
TUNCELI;MARDIN;130
SANLIURFA;GIRESUN;130
DIYARBAKIR;AKSARAY;130
MALATYA;SINOP;130
KILIS;EDIRNE;130
AYDIN;ORDU;130
KASTAMONU;USAK;130
GIRESUN;YOZGAT;130
BARTIN;DENIZLI;130
CANAKKALE;DUZCE;129
SIVAS;IGDIR;129
ERZINCAN;KAHRAMANMARAS;129
ISPARTA;KARABUK;129
MUS;IGDIR;129
KARS;BITLIS;129
KARAMAN;ZONGULDAK;129
KIRKLARELI;AFYONKARAHISAR;129
VAN;ERZINCAN;129
USAK;MALATYA;129
NEVSEHIR;KARABUK;128
ANTALYA;YALOVA;128
AYDIN;DUZCE;128
ARTVIN;MALATYA;128
KONYA;GUMUSHANE;128
BAYBURT;TOKAT;128
KAHRAMANMARAS;SINOP;128
MANISA;KARABUK;128
ELAZIG;YOZGAT;128
GIRESUN;KAHRAMANMARAS;128
DIYARBAKIR;CANKIRI;128
ERZURUM;SINOP;128
BURSA;CANKIRI;128
SANLIURFA;MUS;128
GUMUSHANE;BARTIN;128
AGRI;TOKAT;127
BATMAN;OSMANIYE;127
IZMIR;SIIRT;127
CANKIRI;NEVSEHIR;127
RIZE;AMASYA;127
ISPARTA;YOZGAT;127
ARTVIN;BARTIN;127
SANLIURFA;CORUM;127
DENIZLI;KARS;127
MERSIN;ARTVIN;127
ESKISEHIR;BARTIN;127
KONYA;ARDAHAN;127
ISPARTA;BINGOL;126
BURSA;AMASYA;126
KIRIKKALE;SIIRT;126
ERZINCAN;ORDU;126
USAK;GAZIANTEP;126
BILECIK;ZONGULDAK;126
NIGDE;GIRESUN;126
ANTALYA;KIRKLARELI;126
AMASYA;TUNCELI;126
ESKISEHIR;AKSARAY;126
IGDIR;DUZCE;126
BITLIS;BOLU;126
KARAMAN;BURDUR;126
KUTAHYA;BOLU;125
KIRSEHIR;BURDUR;125
ISPARTA;KASTAMONU;125
AYDIN;KARAMAN;125
MARDIN;KARS;125
ISPARTA;ELAZIG;125
GAZIANTEP;MUS;125
TOKAT;SIIRT;124
KARS;AKSARAY;124
VAN;BINGOL;124
BOLU;CORUM;124
SIRNAK;BITLIS;124
CORUM;IGDIR;124
BURDUR;MARDIN;124
AMASYA;SIIRT;124
AFYONKARAHISAR;GIRESUN;124
KIRIKKALE;USAK;124
BARTIN;MERSIN;124
ISTANBUL;ARTVIN;124
AFYONKARAHISAR;RIZE;124
CANAKKALE;SIVAS;124
TUNCELI;ADIYAMAN;124
BINGOL;DUZCE;123
USAK;TRABZON;123
BURDUR;EDIRNE;123
MUS;SIIRT;123
KUTAHYA;AGRI;123
ISTANBUL;ADIYAMAN;123
SIIRT;KAYSERI;123
SINOP;SIVAS;123
ARDAHAN;ELAZIG;123
RIZE;SIVAS;123
EDIRNE;ISPARTA;123
SANLIURFA;BURDUR;123
BURSA;KARS;123
CANKIRI;BINGOL;122
KUTAHYA;YOZGAT;122
DENIZLI;AGRI;122
ISTANBUL;BATMAN;122
AYDIN;KARS;122
HATAY;BARTIN;122
BAYBURT;KIRIKKALE;122
SAMSUN;BAYBURT;122
BINGOL;DENIZLI;121
ELAZIG;BARTIN;121
GAZIANTEP;AGRI;121
MUGLA;VAN;121
ORDU;AKSARAY;121
MARDIN;ORDU;121
KARS;BURDUR;121
AMASYA;KARS;121
TRABZON;NEVSEHIR;121
USAK;HATAY;121
ERZINCAN;BAYBURT;121
DENIZLI;AMASYA;121
NIGDE;BATMAN;121
TEKIRDAG;BOLU;121
AMASYA;AKSARAY;120
BURDUR;SANLIURFA;120
AKSARAY;KASTAMONU;120
TOKAT;HAKKARI;120
KIRSEHIR;BITLIS;120
SAMSUN;MUS;120
IGDIR;BILECIK;120
DUZCE;CANKIRI;120
MUGLA;MARDIN;120
OSMANIYE;CORUM;120
ZONGULDAK;SINOP;120
ESKISEHIR;GIRESUN;120
NEVSEHIR;CANKIRI;120
KOCAELI;HATAY;120
ADIYAMAN;BURDUR;120
ADIYAMAN;ZONGULDAK;120
AMASYA;USAK;120
NIGDE;BITLIS;119
SIIRT;USAK;119
KIRKLARELI;TRABZON;119
SAKARYA;TOKAT;119
ESKISEHIR;MUS;119
BURSA;NEVSEHIR;119
SAKARYA;BARTIN;119
MANISA;NIGDE;119
DENIZLI;ORDU;119
ERZINCAN;NEVSEHIR;119
IGDIR;SAMSUN;118
YOZGAT;MUS;118
ORDU;BATMAN;118
KARS;KARABUK;118
TOKAT;IGDIR;118
AGRI;KASTAMONU;118
MUGLA;SIVAS;118
KAYSERI;BARTIN;118
ERZURUM;SIRNAK;117
SIIRT;ISPARTA;117
KIRSEHIR;GIRESUN;117
BURSA;BATMAN;117
KIRIKKALE;BARTIN;117
ESKISEHIR;NIGDE;117
ADIYAMAN;GIRESUN;117
ISTANBUL;AGRI;117
CANAKKALE;GAZIANTEP;116
ANTALYA;ELAZIG;116
YOZGAT;HAKKARI;116
NEVSEHIR;KASTAMONU;116
ISTANBUL;IGDIR;116
KAYSERI;SINOP;116
ZONGULDAK;MARDIN;116
SAKARYA;SIVAS;116
ZONGULDAK;TOKAT;116
AKSARAY;BURDUR;116
ORDU;SIIRT;116
GIRESUN;NIGDE;116
HAKKARI;MANISA;116
SAKARYA;ARTVIN;115
ERZINCAN;GIRESUN;115
NEVSEHIR;AMASYA;115
KUTAHYA;ELAZIG;115
USAK;BILECIK;115
KASTAMONU;AKSARAY;115
ANKARA;ARDAHAN;115
AKSARAY;ELAZIG;115
TRABZON;BITLIS;115
GIRESUN;ELAZIG;115
AYDIN;BINGOL;114
AMASYA;BATMAN;114
ANTALYA;CORUM;114
GIRESUN;MARDIN;114
ADIYAMAN;CANKIRI;114
KILIS;SAMSUN;114
MUGLA;KASTAMONU;114
BURSA;SANLIURFA;114
IGDIR;AFYONKARAHISAR;113
ESKISEHIR;HAKKARI;113
GUMUSHANE;CORUM;113
BINGOL;SAMSUN;113
CORUM;KARAMAN;113
BITLIS;KIRIKKALE;113
TRABZON;IGDIR;113
ISPARTA;DUZCE;113
YALOVA;EDIRNE;113
BALIKESIR;AKSARAY;113
DUZCE;DENIZLI;113
DUZCE;AFYONKARAHISAR;112
MARDIN;AGRI;112
KARAMAN;YALOVA;112
HATAY;RIZE;112
EDIRNE;KAYSERI;112
AYDIN;SIIRT;112
EDIRNE;TRABZON;112
RIZE;CANKIRI;112
KARABUK;SINOP;112
BALIKESIR;ARTVIN;112
SIIRT;SAMSUN;112
MANISA;KARAMAN;112
ESKISEHIR;KARAMAN;112
DENIZLI;CANKIRI;112
DENIZLI;CORUM;112
SIIRT;ELAZIG;112
ERZINCAN;CANKIRI;112
ARDAHAN;AMASYA;111
TUNCELI;KAHRAMANMARAS;111
DUZCE;KUTAHYA;111
ANTALYA;KIRIKKALE;111
KIRKLARELI;KAYSERI;111
BARTIN;KUTAHYA;111
BARTIN;TRABZON;111
NIGDE;SIRNAK;111
MERSIN;SINOP;111
KARAMAN;SIVAS;111
DIYARBAKIR;SINOP;111
USAK;YALOVA;111
DIYARBAKIR;HAKKARI;111
ARDAHAN;MALATYA;111
TOKAT;KARAMAN;111
KIRSEHIR;ADIYAMAN;110
KARS;ARTVIN;110
SAKARYA;SANLIURFA;110
TEKIRDAG;ERZURUM;110
ADIYAMAN;DUZCE;110
ISTANBUL;KIRSEHIR;110
KASTAMONU;NEVSEHIR;110
BAYBURT;AFYONKARAHISAR;110
KIRSEHIR;SIIRT;110
AYDIN;CANKIRI;110
CANAKKALE;BURDUR;110
GIRESUN;MALATYA;110
ESKISEHIR;BITLIS;110
ADIYAMAN;MUS;110
EDIRNE;DUZCE;110
IZMIR;OSMANIYE;110
RIZE;CORUM;110
SAMSUN;KARAMAN;110
SANLIURFA;BILECIK;110
IZMIR;BARTIN;110
RIZE;VAN;110
BALIKESIR;ARDAHAN;109
ARDAHAN;CORUM;109
IZMIR;KIRSEHIR;109
ANTALYA;NEVSEHIR;109
ESKISEHIR;SINOP;109
SAKARYA;KIRSEHIR;109
TRABZON;OSMANIYE;109
AFYONKARAHISAR;ARDAHAN;109
BURSA;ERZINCAN;109
TUNCELI;SANLIURFA;109
MUGLA;TOKAT;109
ISPARTA;BATMAN;109
ADIYAMAN;KIRIKKALE;109
ANTALYA;ADIYAMAN;109
ZONGULDAK;AMASYA;109
ARDAHAN;USAK;109
BINGOL;TRABZON;109
ISTANBUL;BITLIS;108
SAKARYA;KAHRAMANMARAS;108
NIGDE;ADIYAMAN;108
ARTVIN;DIYARBAKIR;108
ERZINCAN;RIZE;108
NEVSEHIR;ERZINCAN;108
TOKAT;ARTVIN;108
AKSARAY;VAN;108
ANTALYA;OSMANIYE;108
ARDAHAN;NEVSEHIR;108
KAYSERI;HAKKARI;108
IZMIR;SINOP;108
ISPARTA;TOKAT;108
SIIRT;ZONGULDAK;107
SIIRT;ERZURUM;107
BURDUR;ZONGULDAK;107
HATAY;SINOP;107
BALIKESIR;SINOP;107
KIRIKKALE;BURDUR;107
IZMIR;IGDIR;107
ESKISEHIR;RIZE;107
ADIYAMAN;KIRSEHIR;107
KARABUK;ISPARTA;107
MUGLA;KIRKLARELI;107
USAK;KIRKLARELI;107
OSMANIYE;SINOP;107
MANISA;SINOP;107
IZMIR;KARABUK;107
ANTALYA;DUZCE;107
BALIKESIR;NEVSEHIR;107
TRABZON;ARDAHAN;107
MUS;BOLU;106
CANKIRI;SIRNAK;106
MALATYA;IGDIR;106
AYDIN;GIRESUN;106
BURSA;NIGDE;106
BURDUR;GAZIANTEP;106
GIRESUN;AKSARAY;106
KIRKLARELI;BILECIK;106
NIGDE;TUNCELI;106
NEVSEHIR;AGRI;106
BURDUR;TRABZON;106
AKSARAY;OSMANIYE;106
KARAMAN;NEVSEHIR;106
CORUM;ARTVIN;106
TOKAT;MUS;106
KARAMAN;SANLIURFA;106
DENIZLI;BITLIS;106
KARS;SANLIURFA;105
KARS;RIZE;105
NIGDE;RIZE;105
BURDUR;MALATYA;105
KIRSEHIR;SINOP;105
RIZE;GUMUSHANE;105
ADIYAMAN;BILECIK;105
ADIYAMAN;KASTAMONU;105
DENIZLI;BARTIN;105
ESKISEHIR;SIIRT;105
KARAMAN;MALATYA;105
USAK;KAHRAMANMARAS;105
MUGLA;ELAZIG;105
ELAZIG;KARAMAN;105
KARABUK;AMASYA;105
KIRKLARELI;BOLU;105
BAYBURT;NEVSEHIR;105
NEVSEHIR;BATMAN;105
KIRKLARELI;DIYARBAKIR;105
AYDIN;BARTIN;105
MARDIN;TOKAT;105
BILECIK;HATAY;105
SAKARYA;CORUM;105
KASTAMONU;ELAZIG;104
NIGDE;AGRI;104
ARDAHAN;ORDU;104
ESKISEHIR;KIRSEHIR;104
IZMIR;CANKIRI;104
SANLIURFA;KASTAMONU;104
USAK;BOLU;104
VAN;KASTAMONU;104
KUTAHYA;CANKIRI;104
CANAKKALE;MALATYA;104
NEVSEHIR;BINGOL;104
BURSA;AKSARAY;104
AYDIN;TUNCELI;104
BURDUR;SIVAS;104
KUTAHYA;BINGOL;104
DIYARBAKIR;GIRESUN;104
AYDIN;YOZGAT;103
BILECIK;KAYSERI;103
BATMAN;CANAKKALE;103
DUZCE;ORDU;103
KARS;GIRESUN;103
DENIZLI;BATMAN;103
GUMUSHANE;KASTAMONU;103
AGRI;SIRNAK;103
NEVSEHIR;KARAMAN;103
ELAZIG;HAKKARI;103
AYDIN;NIGDE;103
BAYBURT;ARTVIN;103
KARABUK;YOZGAT;103
EDIRNE;DIYARBAKIR;103
KOCAELI;BARTIN;103
DENIZLI;AKSARAY;103
BURDUR;KAHRAMANMARAS;102
ISTANBUL;SIIRT;102
ANTALYA;BILECIK;102
CANKIRI;BURDUR;102
SIRNAK;KUTAHYA;102
CANAKKALE;VAN;102
CANKIRI;SANLIURFA;102
MARDIN;BURDUR;102
CANKIRI;USAK;102
SAMSUN;ADIYAMAN;102
DUZCE;ERZURUM;102
EDIRNE;BILECIK;102
KARABUK;MALATYA;102
AKSARAY;BINGOL;102
AKSARAY;SIIRT;101
MERSIN;BARTIN;101
DIYARBAKIR;CORUM;101
KILIS;DENIZLI;101
ADANA;ARDAHAN;101
BILECIK;SAMSUN;101
GIRESUN;BURDUR;101
BURDUR;TOKAT;101
TRABZON;MUS;101
SIVAS;ARTVIN;101
CANAKKALE;ORDU;101
ISTANBUL;OSMANIYE;101
NIGDE;KARS;100
AGRI;KARAMAN;100
HAKKARI;AYDIN;100
ISPARTA;NEVSEHIR;100
ZONGULDAK;BATMAN;100
ANTALYA;YOZGAT;100
GAZIANTEP;KARABUK;100
AYDIN;KIRIKKALE;100
ARDAHAN;TOKAT;100
USAK;SIVAS;100
CANAKKALE;TOKAT;100
KASTAMONU;KIRSEHIR;100
ISPARTA;TUNCELI;100
BURDUR;KIRKLARELI;100
SINOP;KIRIKKALE;100
NIGDE;SINOP;100
KAHRAMANMARAS;IGDIR;99
BILECIK;USAK;99
SANLIURFA;AMASYA;99
ADIYAMAN;BARTIN;99
BATMAN;ERZURUM;99
DUZCE;ISPARTA;99
MUS;KARS;99
AKSARAY;ADIYAMAN;99
KIRKLARELI;KASTAMONU;99
BINGOL;EDIRNE;99
BURSA;AGRI;99
AYDIN;CORUM;99
CANKIRI;KARAMAN;99
ERZINCAN;BURDUR;99
USAK;SANLIURFA;98
NEVSEHIR;TUNCELI;98
KARABUK;KIRIKKALE;98
OSMANIYE;RIZE;98
MARDIN;CANKIRI;98
AKSARAY;BATMAN;98
ERZINCAN;USAK;98
SIRNAK;ADIYAMAN;98
KARABUK;DIYARBAKIR;98
SANLIURFA;TUNCELI;98
NEVSEHIR;BITLIS;98
BITLIS;NIGDE;98
MUGLA;YALOVA;98
GAZIANTEP;KIRSEHIR;98
SIIRT;KUTAHYA;98
ARDAHAN;BARTIN;97
RIZE;DIYARBAKIR;97
ERZINCAN;KASTAMONU;97
ZONGULDAK;SANLIURFA;97
BINGOL;ISPARTA;97
ARDAHAN;KARABUK;97
MUGLA;BILECIK;97
KILIS;TRABZON;97
CANAKKALE;KASTAMONU;97
MUS;ERZINCAN;97
BINGOL;ZONGULDAK;97
KUTAHYA;BATMAN;97
BINGOL;SIVAS;97
BALIKESIR;KARAMAN;97
SIIRT;BOLU;96
ZONGULDAK;KIRIKKALE;96
ADANA;BARTIN;96
MUGLA;DUZCE;96
KARAMAN;BOLU;96
NEVSEHIR;OSMANIYE;96
VAN;NIGDE;96
GIRESUN;NEVSEHIR;96
MANISA;ADIYAMAN;96
ADIYAMAN;KARAMAN;96
NIGDE;HAKKARI;96
BITLIS;SIRNAK;96
ELAZIG;SINOP;96
KASTAMONU;NIGDE;96
OSMANIYE;KARABUK;96
CANAKKALE;MARDIN;96
CANAKKALE;SANLIURFA;96
TEKIRDAG;BILECIK;96
KILIS;CANAKKALE;96
ISPARTA;AMASYA;96
KUTAHYA;CORUM;95
SAMSUN;IGDIR;95
AMASYA;HAKKARI;95
MUGLA;ORDU;95
ERZURUM;HAKKARI;95
KIRSEHIR;HAKKARI;95
USAK;DUZCE;95
BOLU;TOKAT;95
KIRSEHIR;RIZE;95
ZONGULDAK;VAN;95
YOZGAT;ARTVIN;95
ISPARTA;BITLIS;95
NEVSEHIR;BARTIN;94
ELAZIG;RIZE;94
ERZINCAN;KARABUK;94
CANAKKALE;CANKIRI;94
CANAKKALE;SIRNAK;94
SIVAS;GUMUSHANE;94
MALATYA;ARTVIN;94
ANTALYA;BINGOL;94
NEVSEHIR;SIRNAK;94
ADIYAMAN;AMASYA;94
KIRIKKALE;GIRESUN;94
BOLU;GAZIANTEP;94
DUZCE;MARDIN;94
AKSARAY;AGRI;94
GUMUSHANE;GAZIANTEP;94
AYDIN;RIZE;94
BINGOL;AFYONKARAHISAR;94
ADANA;BAYBURT;94
KARAMAN;YOZGAT;94
DENIZLI;MUS;94
GUMUSHANE;CANKIRI;94
MANISA;HAKKARI;94
ARDAHAN;YOZGAT;94
KIRIKKALE;SINOP;94
ARTVIN;KAHRAMANMARAS;94
ANTALYA;ORDU;94
ANTALYA;KARS;94
YALOVA;MERSIN;93
CANAKKALE;CORUM;93
BILECIK;KARABUK;93
ARTVIN;ELAZIG;93
BARTIN;ADANA;93
AGRI;NEVSEHIR;93
TEKIRDAG;GAZIANTEP;93
ANTALYA;SIRNAK;93
AKSARAY;KARS;93
SINOP;DIYARBAKIR;93
ISPARTA;ERZINCAN;93
KIRSEHIR;OSMANIYE;92
KILIS;VAN;92
KUTAHYA;ERZINCAN;92
TEKIRDAG;TRABZON;92
KIRSEHIR;MUS;92
KARS;MUS;92
SAKARYA;MALATYA;92
MUGLA;MALATYA;92
KASTAMONU;RIZE;92
DENIZLI;TUNCELI;92
TUNCELI;OSMANIYE;92
KARABUK;TOKAT;92
AKSARAY;TUNCELI;92
RIZE;USAK;92
BILECIK;ERZURUM;92
AKSARAY;SIRNAK;92
KIRIKKALE;KARAMAN;92
DUZCE;AMASYA;92
KOCAELI;KASTAMONU;92
DENIZLI;KIRIKKALE;92
AFYONKARAHISAR;BARTIN;91
AGRI;NIGDE;91
TUNCELI;USAK;91
ERZINCAN;SANLIURFA;91
YALOVA;KONYA;91
KAHRAMANMARAS;BARTIN;91
ARTVIN;USAK;91
AFYONKARAHISAR;ARTVIN;91
BALIKESIR;ADIYAMAN;91
ORDU;HAKKARI;91
ISTANBUL;SIRNAK;91
BATMAN;ZONGULDAK;91
YALOVA;MANISA;91
AYDIN;AKSARAY;91
BAYBURT;SIVAS;91
BURSA;SINOP;91
KARAMAN;TRABZON;91
AKSARAY;CORUM;90
DENIZLI;BINGOL;90
AFYONKARAHISAR;OSMANIYE;90
ARTVIN;BINGOL;90
MUS;SIRNAK;90
BARTIN;KAYSERI;90
GIRESUN;AGRI;90
ERZINCAN;AKSARAY;90
DENIZLI;ERZINCAN;90
TOKAT;OSMANIYE;90
SIRNAK;BALIKESIR;90
AMASYA;BITLIS;90
BALIKESIR;IGDIR;90
AGRI;ARTVIN;89
TRABZON;BATMAN;89
KILIS;ELAZIG;89
ESKISEHIR;IGDIR;89
AKSARAY;BITLIS;89
BINGOL;TOKAT;89
GUMUSHANE;SINOP;89
ELAZIG;KILIS;89
ESKISEHIR;OSMANIYE;89
KARAMAN;KIRKLARELI;89
SINOP;BURDUR;89
IGDIR;KUTAHYA;89
BINGOL;USAK;89
BOLU;ORDU;89
ISPARTA;NIGDE;89
YALOVA;KIRKLARELI;89
IZMIR;ARTVIN;89
KOCAELI;KARABUK;88
AMASYA;IGDIR;88
KUTAHYA;BARTIN;88
AYDIN;IGDIR;88
BITLIS;NEVSEHIR;88
SANLIURFA;ERZINCAN;88
AFYONKARAHISAR;IGDIR;88
TUNCELI;BOLU;88
CANAKKALE;USAK;88
TRABZON;SIRNAK;88
BITLIS;BINGOL;88
ESKISEHIR;ADIYAMAN;88
TRABZON;TUNCELI;88
IGDIR;HATAY;88
BATMAN;KUTAHYA;88
KUTAHYA;SIRNAK;88
HATAY;IGDIR;88
IZMIR;HAKKARI;88
VAN;CANKIRI;88
KARS;KARAMAN;87
KARAMAN;VAN;87
VAN;YOZGAT;87
ANTALYA;GIRESUN;87
NEVSEHIR;MUS;87
ERZINCAN;YOZGAT;87
BAYBURT;ORDU;87
NEVSEHIR;GIRESUN;87
BITLIS;SANLIURFA;87
ZONGULDAK;RIZE;87
ISPARTA;KARS;87
KUTAHYA;ORDU;87
DIYARBAKIR;ARTVIN;87
KOCAELI;DIYARBAKIR;87
IGDIR;ZONGULDAK;87
AFYONKARAHISAR;KIRSEHIR;87
SIRNAK;OSMANIYE;86
DENIZLI;SIIRT;86
SINOP;GAZIANTEP;86
BAYBURT;ISPARTA;86
TEKIRDAG;HATAY;86
NIGDE;SIIRT;86
HAKKARI;KONYA;86
AMASYA;NIGDE;86
RIZE;ERZINCAN;86
NIGDE;BINGOL;86
MUGLA;BOLU;86
AGRI;ORDU;86
ZONGULDAK;AKSARAY;86
BILECIK;DIYARBAKIR;86
HATAY;ARTVIN;86
CANAKKALE;AGRI;86
ARDAHAN;KASTAMONU;86
CANAKKALE;AMASYA;85
MANISA;OSMANIYE;85
KASTAMONU;SANLIURFA;85
BOLU;NEVSEHIR;85
KARABUK;GAZIANTEP;85
BOLU;AKSARAY;85
ORDU;KARAMAN;85
SAKARYA;KIRIKKALE;85
NEVSEHIR;ADIYAMAN;85
GAZIANTEP;IGDIR;85
GUMUSHANE;YOZGAT;85
KILIS;YALOVA;85
KILIS;ISPARTA;85
TUNCELI;SAMSUN;85
CANKIRI;GIRESUN;85
KILIS;ZONGULDAK;85
KOCAELI;CANKIRI;84
ARDAHAN;AGRI;84
ADANA;GUMUSHANE;84
ERZINCAN;KARS;84
BITLIS;TRABZON;84
DUZCE;GIRESUN;84
SAMSUN;OSMANIYE;84
VAN;ADIYAMAN;84
TRABZON;HAKKARI;84
IGDIR;ISPARTA;84
ZONGULDAK;BINGOL;84
MUS;KARAMAN;84
KARAMAN;KASTAMONU;84
TOKAT;BAYBURT;84
GIRESUN;OSMANIYE;84
MARDIN;BINGOL;84
BURSA;BITLIS;84
KAHRAMANMARAS;ARTVIN;84
CANKIRI;BATMAN;83
ISPARTA;SIRNAK;83
DIYARBAKIR;KILIS;83
IGDIR;GUMUSHANE;83
BOLU;KAHRAMANMARAS;83
BINGOL;BATMAN;83
ISTANBUL;BAYBURT;83
DENIZLI;NEVSEHIR;83
OSMANIYE;ARTVIN;83
KAYSERI;ARTVIN;83
IGDIR;USAK;83
TOKAT;GUMUSHANE;83
BURSA;SIRNAK;83
KILIS;AFYONKARAHISAR;83
MANISA;BARTIN;83
KOCAELI;SIVAS;83
AKSARAY;ORDU;83
EDIRNE;HATAY;83
VAN;NEVSEHIR;83
SANLIURFA;KARABUK;83
TEKIRDAG;DIYARBAKIR;83
NEVSEHIR;ORDU;83
SIIRT;YOZGAT;83
GAZIANTEP;RIZE;83
SINOP;RIZE;82
BOLU;YOZGAT;82
CANKIRI;RIZE;82
ELAZIG;ARTVIN;82
ANTALYA;KIRSEHIR;82
CORUM;ARDAHAN;82
ISPARTA;ADIYAMAN;82
KARABUK;VAN;82
AKSARAY;ERZINCAN;82
HAKKARI;MUGLA;82
YALOVA;BILECIK;82
CANAKKALE;BINGOL;82
DENIZLI;NIGDE;82
MANISA;IGDIR;82
BITLIS;KUTAHYA;82
KOCAELI;GAZIANTEP;82
ADIYAMAN;CORUM;82
KARAMAN;USAK;82
KASTAMONU;MARDIN;82
KIRKLARELI;MARDIN;82
DIYARBAKIR;BARTIN;81
EDIRNE;USAK;81
ZONGULDAK;KAHRAMANMARAS;81
AMASYA;ADIYAMAN;81
KUTAHYA;KIRIKKALE;81
HAKKARI;BITLIS;81
ISPARTA;ORDU;81
AYDIN;ADIYAMAN;81
KOCAELI;RIZE;81
AFYONKARAHISAR;SINOP;81
SIIRT;AFYONKARAHISAR;81
ELAZIG;IGDIR;81
KIRIKKALE;MUS;81
BAYBURT;BOLU;81
ANTALYA;AMASYA;81
KUTAHYA;KARABUK;81
BINGOL;NEVSEHIR;81
CANKIRI;KARS;81
AKSARAY;AMASYA;81
AKSARAY;DUZCE;81
TUNCELI;TOKAT;81
AYDIN;KARABUK;80
NEVSEHIR;KARS;80
KARAMAN;BILECIK;80
SIRNAK;SAKARYA;80
ARTVIN;MARDIN;80
VAN;GIRESUN;80
SAKARYA;ELAZIG;80
BURDUR;NIGDE;80
BALIKESIR;GUMUSHANE;80
KAHRAMANMARAS;ARDAHAN;80
GIRESUN;KARS;80
KIRKLARELI;ERZURUM;80
ADIYAMAN;TUNCELI;80
SANLIURFA;BARTIN;80
DENIZLI;ADIYAMAN;80
GAZIANTEP;ARTVIN;80
ARTVIN;GUMUSHANE;80
TUNCELI;AFYONKARAHISAR;80
ARDAHAN;MARDIN;80
KUTAHYA;AMASYA;80
YOZGAT;IGDIR;80
KASTAMONU;BINGOL;80
ANTALYA;AGRI;79
KOCAELI;SINOP;79
BURDUR;KASTAMONU;79
MARDIN;KARABUK;79
VAN;KARAMAN;79
DUZCE;BURDUR;79
SIVAS;ARDAHAN;79
MARDIN;YOZGAT;79
MUGLA;YOZGAT;79
MUGLA;NEVSEHIR;79
MANISA;KIRSEHIR;79
GUMUSHANE;NEVSEHIR;79
CANAKKALE;ELAZIG;79
RIZE;ELAZIG;79
HATAY;ARDAHAN;79
EDIRNE;AMASYA;79
RIZE;GAZIANTEP;78
ADIYAMAN;ORDU;78
KARABUK;MARDIN;78
AYDIN;KIRSEHIR;78
GIRESUN;SANLIURFA;78
MARDIN;KASTAMONU;78
GAZIANTEP;BARTIN;78
BAYBURT;DENIZLI;78
KARABUK;ORDU;78
BURDUR;KARAMAN;78
ORDU;BAYBURT;78
DENIZLI;GIRESUN;78
KARABUK;SIVAS;78
ZONGULDAK;BURDUR;78
ZONGULDAK;MALATYA;78
EDIRNE;GAZIANTEP;78
ARTVIN;AKSARAY;78
GIRESUN;BINGOL;78
CANAKKALE;KAHRAMANMARAS;77
BAYBURT;CORUM;77
ORDU;MUS;77
VAN;KIRSEHIR;77
BINGOL;AGRI;77
KARAMAN;DUZCE;77
BURDUR;KARS;77
GIRESUN;BAYBURT;77
AKSARAY;BILECIK;77
AGRI;SIIRT;77
KIRKLARELI;KARABUK;77
SAKARYA;USAK;77
KOCAELI;MALATYA;77
AMASYA;MUS;77
MUGLA;CORUM;77
RIZE;KAHRAMANMARAS;77
MUGLA;CANKIRI;76
CANAKKALE;BARTIN;76
MANISA;ARTVIN;76
BINGOL;KUTAHYA;76
BATMAN;AFYONKARAHISAR;76
SAKARYA;BURDUR;76
KAYSERI;IGDIR;76
BURDUR;ERZINCAN;76
IGDIR;KIRIKKALE;76
KONYA;KILIS;76
KUTAHYA;TUNCELI;76
MALATYA;ARDAHAN;75
KAHRAMANMARAS;GUMUSHANE;75
ISPARTA;CORUM;75
BOLU;DIYARBAKIR;75
MUGLA;NIGDE;75
EDIRNE;SIVAS;75
DUZCE;RIZE;75
TUNCELI;KIRIKKALE;75
AMASYA;OSMANIYE;75
AYDIN;NEVSEHIR;75
MUGLA;KIRIKKALE;75
MUS;SIVAS;75
MUS;RIZE;75
DIYARBAKIR;AMASYA;75
USAK;AGRI;74
ISPARTA;MUS;74
OSMANIYE;BARTIN;74
CANAKKALE;YOZGAT;74
TEKIRDAG;MARDIN;74
RIZE;BINGOL;74
CORUM;GUMUSHANE;74
ARTVIN;BURDUR;74
VAN;KARABUK;74
TRABZON;ADIYAMAN;74
MARDIN;KILIS;74
ORDU;IGDIR;74
