from_city;from_district;to_city;to_district;migration
SAMSUN;CARSAMBA;SAMSUN;ILKADIM;12187
ANTALYA;MURATPASA;ANTALYA;KEPEZ;12098
ISTANBUL;FATIH;ISTANBUL;SISLI;12088
KUTAHYA;ALTINTAS;KUTAHYA;KUTAHYA MERKEZ;12055
BALIKESIR;KEPSUT;BALIKESIR;BALIKESIR MERKEZ;12037
GAZIANTEP;ARABAN;GAZIANTEP;SEHITKAMIL;11976
AYDIN;KOCARLI;AYDIN;AYDIN MERKEZ;11898
ADANA;KARATAS;ADANA;SEYHAN;11789
KAYSERI;HACILAR;KAYSERI;MELIKGAZI;11714
HATAY;YAYLADAG;HATAY;HATAY MERKEZ;11657
ISTANBUL;BEYOGLU;ISTANBUL;KADIKOY;11563
SANLIURFA;SURUC;SANLIURFA;SANLIURFA MERKEZ;11553
ANKARA;BALA;ANKARA;KECIOREN;11463
DIYARBAKIR;CINAR;DIYARBAKIR;BAGLAR;11410
SAKARYA;ADAPAZARI;SAKARYA;SERDIVAN;11366
ADANA;CEYHAN;ADANA;CUKUROVA;11336
BATMAN;KOZLUK;BATMAN;BATMAN MERKEZ;11319
MALATYA;YAZIHAN;MALATYA;MALATYA MERKEZ;11197
BURSA;YENISEHIR;BURSA;YILDIRIM;11193
ISTANBUL;FATIH;ISTANBUL;GUNGOREN;11169
KARABUK;ESKIPAZAR;KARABUK;KARABUK MERKEZ;11113
ANKARA;CUBUK;ANKARA;ALTINDAG;11108
KONYA;YUNAK;KONYA;AKSEHIR;11033
MERSIN;TARSUS;MERSIN;AKDENIZ;11019
TRABZON;MACKA;TRABZON;TRABZON MERKEZ;10905
SAMSUN;ILKADIM;SAMSUN;ATAKUM;10769
VAN;BASKALE;VAN;VAN MERKEZ;10756
ANKARA;KIZILCAHAMAM;ANKARA;YENIMAHALLE;10680
ADANA;KOZAN;ADANA;SARICAM;10663
ADANA;SEYHAN;ADANA;YUREGIR;10662
ELAZIG;MADEN;ELAZIG;ELAZIG MERKEZ;10575
KAYSERI;BUNYAN;KAYSERI;KOCASINAN;10571
ISTANBUL;BEYOGLU;ISTANBUL;SISLI;10465
ANTALYA;KORKUTELI;ANTALYA;MURATPASA;10457
KONYA;MERAM;KONYA;KARATAY;10413
ANKARA;ALTINDAG;ANKARA;YENIMAHALLE;10390
KAHRAMANMARAS;TURKOGLU;KAHRAMANMARAS;KAHRAMANMARAS MERKEZ;10258
DIYARBAKIR;KULP;DIYARBAKIR;BAGLAR;10154
ANKARA;HAYMANA;ANKARA;POLATLI;10116
ELAZIG;SIVRICE;ELAZIG;ELAZIG MERKEZ;10055
MALATYA;BATTALGAZI;MALATYA;MALATYA MERKEZ;10050
HATAY;SAMANDAGI;HATAY;HATAY MERKEZ;10032
ERZURUM;TORTUM;ERZURUM;YAKUTIYE;10005
ESKISEHIR;ALPU;ESKISEHIR;ODUNPAZARI;9985
MARDIN;OMERLI;MARDIN;KIZILTEPE;9954
KONYA;CUMRA;KONYA;MERAM;9881
SIVAS;ULAS;SIVAS;SIVAS MERKEZ;9854
DIYARBAKIR;SILVAN;DIYARBAKIR;BAGLAR;9843
KONYA;SELCUKLU;KONYA;KARATAY;9826
AYDIN;BOZDOGAN;AYDIN;NAZILLI;9824
KAYSERI;TOMARZA;KAYSERI;MELIKGAZI;9804
DIYARBAKIR;EGIL;DIYARBAKIR;BAGLAR;9793
KONYA;CUMRA;KONYA;KARATAY;9787
ISTANBUL;FATIH;ISTANBUL;MALTEPE;9756
USAK;BANAZ;USAK;USAK MERKEZ;9751
ANTALYA;SERIK;ANTALYA;MURATPASA;9698
TRABZON;YOMRA;TRABZON;TRABZON MERKEZ;9658
ANKARA;CANKAYA;ANKARA;YENIMAHALLE;9658
DENIZLI;CIVRIL;DENIZLI;DENIZLI MERKEZ;9651
DIYARBAKIR;LICE;DIYARBAKIR;YENISEHIR;9572
ISTANBUL;FATIH;ISTANBUL;KUCUKCEKMECE;9518
BURSA;KESTEL;BURSA;YILDIRIM;9507
ISPARTA;EGIRDIR;ISPARTA;ISPARTA MERKEZ;9478
BURSA;INEGOL;BURSA;YILDIRIM;9329
ANKARA;AYAS;ANKARA;SINCAN;9246
MARDIN;DERIK;MARDIN;KIZILTEPE;9194
HATAY;KIRIKHAN;HATAY;ISKENDERUN;9164
DIYARBAKIR;LICE;DIYARBAKIR;KAYAPINAR;9126
SAMSUN;CANIK;SAMSUN;ILKADIM;9096
BURSA;KELES;BURSA;OSMANGAZI;8984
ANKARA;CAMLIDERE;ANKARA;YENIMAHALLE;8966
IZMIR;KONAK;IZMIR;BAYRAKLI;8964
ISTANBUL;FATIH;ISTANBUL;BEYLIKDUZU;8901
KONYA;SELCUKLU;KONYA;MERAM;8898
ISTANBUL;FATIH;ISTANBUL;AVCILAR;8870
DIYARBAKIR;ERGANI;DIYARBAKIR;BAGLAR;8858
ERZURUM;AZIZIYE;ERZURUM;YAKUTIYE;8826
ZONGULDAK;DEVREK;ZONGULDAK;ZONGULDAK MERKEZ;8798
ADANA;KARATAS;ADANA;CUKUROVA;8797
KAYSERI;INCESU;KAYSERI;MELIKGAZI;8765
AFYONKARAHISAR;SINANPASA;AFYONKARAHISAR;AFYONKARAHISAR MERKEZ;8722
ADANA;KOZAN;ADANA;CUKUROVA;8703
ISTANBUL;BESIKTAS;ISTANBUL;KADIKOY;8700
IZMIR;BAYRAKLI;IZMIR;KARSIYAKA;8699
KAYSERI;BUNYAN;KAYSERI;MELIKGAZI;8630
ISTANBUL;FATIH;ISTANBUL;GAZIOSMANPASA;8590
AGRI;HAMUR;AGRI;AGRI MERKEZ;8465
ISTANBUL;EYUP;ISTANBUL;GAZIOSMANPASA;8452
ANKARA;BALA;ANKARA;YENIMAHALLE;8440
ANKARA;KIZILCAHAMAM;ANKARA;ALTINDAG;8396
KOCAELI;BASISKELE;KOCAELI;IZMIT;8358
CORUM;MECITOZU;CORUM;CORUM MERKEZ;8263
GIRESUN;DERELI;GIRESUN;GIRESUN MERKEZ;8237
ISTANBUL;FATIH;ISTANBUL;BAYRAMPASA;8200
GIRESUN;KESAP;GIRESUN;GIRESUN MERKEZ;8194
ADANA;FEKE;ADANA;KOZAN;8182
ESKISEHIR;SIVRIHISAR;ESKISEHIR;TEPEBASI;8166
KIRSEHIR;MUCUR;KIRSEHIR;KIRSEHIR MERKEZ;8101
MERSIN;SILIFKE;MERSIN;ERDEMLI;8072
