from_city;from_district;to_city;to_district;migration
ISTANBUL;GAZIOSMANPASA;ISTANBUL;KARTAL;260
IZMIR;KONAK;IZMIR;BERGAMA;260
CANAKKALE;BIGA;CANAKKALE;GELIBOLU;259
IZMIR;TORBALI;IZMIR;TIRE;259
DENIZLI;CARDAK;DENIZLI;BOZKURT/DENIZLI;259
KONYA;KARAPINAR;KONYA;EMIRGAZI;259
ADANA;IMAMOGLU;ADANA;CEYHAN;259
SAKARYA;AKYAZI;SAKARYA;ARIFIYE;259
DIYARBAKIR;EGIL;DIYARBAKIR;ERGANI;258
KARS;SARIKAMIS;KARS;SELIM;258
AYDIN;SOKE;AYDIN;INCIRLIOVA;258
BALIKESIR;SINDIRGI;BALIKESIR;EDREMIT/BALIKESIR;258
KAHRAMANMARAS;KAHRAMANMARAS MERKEZ;KAHRAMANMARAS;CAGLIYANCERIT;258
ISTANBUL;KAGITHANE;ISTANBUL;BASAKSEHIR;258
ISTANBUL;KAGITHANE;ISTANBUL;ESENYURT;258
ISTANBUL;KAGITHANE;ISTANBUL;SULTANBEYLI;258
ADANA;ALADAG;ADANA;KOZAN;257
KAHRAMANMARAS;ELBISTAN;KAHRAMANMARAS;EKINOZU;257
ISTANBUL;SILIVRI;ISTANBUL;SULTANGAZI;257
IZMIR;KARABAGLAR;IZMIR;CIGLI;257
TEKIRDAG;SARAY/TEKIRDAG;TEKIRDAG;TEKIRDAG MERKEZ;257
RIZE;HEMSIN;RIZE;RIZE MERKEZ;257
BALIKESIR;BALIKESIR MERKEZ;BALIKESIR;GONEN/BALIKESIR;257
MARDIN;MIDYAT;MARDIN;OMERLI;256
SAKARYA;PAMUKOVA;SAKARYA;GEYVE;256
AYDIN;BOZDOGAN;AYDIN;KUYUCAK;256
CANAKKALE;CAN;CANAKKALE;EZINE;256
IZMIR;KINIK;IZMIR;BAYRAKLI;256
IZMIR;DIKILI;IZMIR;CIGLI;256
ZONGULDAK;ALAPLI;ZONGULDAK;ZONGULDAK MERKEZ;255
YOZGAT;YENIFAKILI;YOZGAT;BOGAZLIYAN;255
ZONGULDAK;GOKCEBEY;ZONGULDAK;DEVREK;255
RIZE;RIZE MERKEZ;RIZE;CAYELI;255
ERZINCAN;ILIC;ERZINCAN;ERZINCAN MERKEZ;255
KONYA;AKSEHIR;KONYA;ILGIN;254
ISTANBUL;SILIVRI;ISTANBUL;ESENYURT;254
ISTANBUL;ADALAR;ISTANBUL;SISLI;254
TEKIRDAG;MURATLI;TEKIRDAG;CERKEZKOY;254
ISTANBUL;ZEYTINBURNU;ISTANBUL;SILIVRI;254
IZMIR;KONAK;IZMIR;SELCUK;253
IZMIR;TORBALI;IZMIR;SELCUK;253
ISTANBUL;ESENLER;ISTANBUL;BAHCELIEVLER;253
KOCAELI;KARAMURSEL;KOCAELI;GEBZE;253
TOKAT;TOKAT MERKEZ;TOKAT;ALMUS;253
MUGLA;ORTACA;MUGLA;FETHIYE;252
ANTALYA;FINIKE;ANTALYA;DEMRE;252
ISTANBUL;ATASEHIR;ISTANBUL;CEKMEKOY;252
ISTANBUL;CATALCA;ISTANBUL;USKUDAR;252
SIVAS;SARKISLA;SIVAS;GEMEREK;252
SAMSUN;AYVACIK/SAMSUN;SAMSUN;ATAKUM;252
MANISA;MANISA MERKEZ;MANISA;SOMA;251
DENIZLI;GUNEY;DENIZLI;BULDAN;251
MANISA;TURGUTLU;MANISA;SALIHLI;250
NEVSEHIR;NEVSEHIR MERKEZ;NEVSEHIR;GULSEHIR;250
DIYARBAKIR;LICE;DIYARBAKIR;KOCAKOY;250
ISTANBUL;BEYKOZ;ISTANBUL;SANCAKTEPE;250
KAYSERI;MELIKGAZI;KAYSERI;HACILAR;250
AYDIN;KOCARLI;AYDIN;NAZILLI;250
BATMAN;BATMAN MERKEZ;BATMAN;GERCUS;250
SIVAS;KOYULHISAR;SIVAS;SIVAS MERKEZ;249
ARTVIN;ARTVIN MERKEZ;ARTVIN;ARDANUC;249
SANLIURFA;HILVAN;SANLIURFA;VIRANSEHIR;249
IZMIR;KONAK;IZMIR;DIKILI;248
SAMSUN;HAVZA;SAMSUN;BAFRA;248
IZMIR;ALIAGA;IZMIR;KONAK;247
KONYA;KADINHANI;KONYA;AKSEHIR;247
ERZURUM;TEKMAN;ERZURUM;AZIZIYE;247
HAKKARI;HAKKARI MERKEZ;HAKKARI;SEMDINLI;246
MANISA;GOLMARMARA;MANISA;SALIHLI;246
CANAKKALE;BAYRAMIC;CANAKKALE;AYVACIK/CANAKKALE;246
NEVSEHIR;URGUP;NEVSEHIR;AVANOS;245
MERSIN;BOZYAZI;MERSIN;TOROSLAR;245
ISTANBUL;ESENYURT;ISTANBUL;BEYLIKDUZU;245
ISTANBUL;BEYKOZ;ISTANBUL;BUYUKCEKMECE;244
ISTANBUL;ESENLER;ISTANBUL;KUCUKCEKMECE;244
AYDIN;BOZDOGAN;AYDIN;SOKE;244
ISTANBUL;SILIVRI;ISTANBUL;BESIKTAS;243
ISTANBUL;BESIKTAS;ISTANBUL;ZEYTINBURNU;243
ISTANBUL;SISLI;ISTANBUL;ZEYTINBURNU;243
CANAKKALE;CANAKKALE MERKEZ;CANAKKALE;GELIBOLU;243
BALIKESIR;GOMEC;BALIKESIR;EDREMIT/BALIKESIR;243
SIRNAK;SILOPI;SIRNAK;SIRNAK MERKEZ;242
BALIKESIR;BANDIRMA;BALIKESIR;EDREMIT/BALIKESIR;242
ERZURUM;KOPRUKOY;ERZURUM;AZIZIYE;242
KASTAMONU;AGLI;KASTAMONU;KASTAMONU MERKEZ;242
IZMIR;KINIK;IZMIR;MENEMEN;242
KIRKLARELI;KIRKLARELI MERKEZ;KIRKLARELI;PINARHISAR;242
ISTANBUL;SILIVRI;ISTANBUL;MALTEPE;241
IZMIR;KEMALPASA;IZMIR;TORBALI;241
ISTANBUL;SARIYER;ISTANBUL;KUCUKCEKMECE;241
ISTANBUL;SISLI;ISTANBUL;BAGCILAR;241
ORDU;ORDU MERKEZ;ORDU;FATSA;241
EDIRNE;KESAN;EDIRNE;IPSALA;241
MANISA;SOMA;MANISA;AKHISAR;240
SAKARYA;PAMUKOVA;SAKARYA;SERDIVAN;240
IZMIR;KARABURUN;IZMIR;BAYRAKLI;240
AFYONKARAHISAR;SULTANDAGI;AFYONKARAHISAR;CAY;240
BALIKESIR;DURSUNBEY;BALIKESIR;AYVALIK;239
ISTANBUL;EYUP;ISTANBUL;TUZLA;239
KIRKLARELI;LULEBURGAZ;KIRKLARELI;PINARHISAR;239
IZMIR;BERGAMA;IZMIR;GAZIEMIR;239
ISTANBUL;BUYUKCEKMECE;ISTANBUL;GUNGOREN;239
ISTANBUL;CATALCA;ISTANBUL;ESENLER;239
IZMIR;ODEMIS;IZMIR;URLA;239
TEKIRDAG;HAYRABOLU;TEKIRDAG;MALKARA;239
SAMSUN;CARSAMBA;SAMSUN;AYVACIK/SAMSUN;239
EDIRNE;MERIC;EDIRNE;KESAN;239
ANKARA;BALA;ANKARA;ELMADAG;238
IZMIR;BUCA;IZMIR;URLA;238
ISTANBUL;CATALCA;ISTANBUL;SARIYER;238
OSMANIYE;DUZICI;OSMANIYE;BAHCE;238
BURSA;GEMLIK;BURSA;GURSU;238
KONYA;BEYSEHIR;KONYA;DEREBUCAK;238
KUTAHYA;TAVSANLI;KUTAHYA;EMET;238
ERZINCAN;ERZINCAN MERKEZ;ERZINCAN;UZUMLU;237
ISTANBUL;GAZIOSMANPASA;ISTANBUL;ESENLER;237
ZONGULDAK;DEVREK;ZONGULDAK;ALAPLI;237
ISTANBUL;ZEYTINBURNU;ISTANBUL;ATASEHIR;237
BARTIN;BARTIN MERKEZ;BARTIN;ULUS;237
AYDIN;KARACASU;AYDIN;DIDIM;236
AFYONKARAHISAR;EVCILER;AFYONKARAHISAR;DINAR;236
ISTANBUL;GUNGOREN;ISTANBUL;UMRANIYE;236
ISTANBUL;USKUDAR;ISTANBUL;SILE;236
ISTANBUL;ARNAVUTKOY;ISTANBUL;GUNGOREN;235
ISTANBUL;BEYKOZ;ISTANBUL;TUZLA;235
ISTANBUL;BAKIRKOY;ISTANBUL;BEYOGLU;235
TEKIRDAG;CORLU;TEKIRDAG;MARMARAEREGLISI;235
CANAKKALE;CANAKKALE MERKEZ;CANAKKALE;CAN;235
BALIKESIR;AYVALIK;BALIKESIR;BURHANIYE;235
TOKAT;TOKAT MERKEZ;TOKAT;PAZAR/TOKAT;234
DUZCE;DUZCE MERKEZ;DUZCE;GOLYAKA;234
MANISA;SALIHLI;MANISA;KULA;234
SAKARYA;ADAPAZARI;SAKARYA;GEYVE;234
MERSIN;CAMLIYAYLA;MERSIN;YENISEHIR;233
OSMANIYE;BAHCE;OSMANIYE;HASANBEYLI;233
BURSA;KARACABEY;BURSA;GEMLIK;233
BALIKESIR;BURHANIYE;BALIKESIR;BALIKESIR MERKEZ;233
ORDU;FATSA;ORDU;GURGENTEPE;233
BITLIS;GUROYMAK;BITLIS;BITLIS MERKEZ;233
GIRESUN;YAGLIDERE;GIRESUN;KESAP;233
ANKARA;HAYMANA;ANKARA;PURSAKLAR;233
ISTANBUL;USKUDAR;ISTANBUL;ESENYURT;233
IZMIR;MENDERES;IZMIR;BALCOVA;233
ISTANBUL;GAZIOSMANPASA;ISTANBUL;USKUDAR;233
ISTANBUL;KARTAL;ISTANBUL;CEKMEKOY;233
IZMIR;BALCOVA;IZMIR;URLA;233
ISTANBUL;BEYOGLU;ISTANBUL;ADALAR;233
HATAY;ALTINOZU;HATAY;KIRIKHAN;232
ISPARTA;YALVAC;ISPARTA;SARKIKARAAGAC;232
SIIRT;KURTALAN;SIIRT;BAYKAN;232
YOZGAT;YOZGAT MERKEZ;YOZGAT;SEFAATLI;232
MARDIN;KIZILTEPE;MARDIN;MIDYAT;232
ANKARA;GUDUL;ANKARA;POLATLI;232
BURSA;INEGOL;BURSA;KESTEL;232
AFYONKARAHISAR;KIZILOREN;AFYONKARAHISAR;SANDIKLI;232
SINOP;SINOP MERKEZ;SINOP;ERFELEK;231
SAMSUN;CARSAMBA;SAMSUN;SALIPAZARI;231
ISTANBUL;TUZLA;ISTANBUL;MALTEPE;231
KOCAELI;IZMIT;KOCAELI;KANDIRA;231
CORUM;UGURLUDAG;CORUM;SUNGURLU;231
DENIZLI;CIVRIL;DENIZLI;HONAZ;230
IZMIR;ALIAGA;IZMIR;KARABAGLAR;230
HATAY;ALTINOZU;HATAY;BELEN;230
MUGLA;KAVAKLIDERE;MUGLA;MILAS;230
KONYA;EREGLI/KONYA;KONYA;SEYDISEHIR;230
MERSIN;AYDINCIK/ICEL;MERSIN;SILIFKE;230
AYDIN;CINE;AYDIN;KARPUZLU;230
ISTANBUL;FATIH;ISTANBUL;SILE;229
ISTANBUL;BASAKSEHIR;ISTANBUL;ESENYURT;229
MALATYA;BATTALGAZI;MALATYA;YESILYURT/MALATYA;229
DIYARBAKIR;YENISEHIR;DIYARBAKIR;ERGANI;228
AYDIN;INCIRLIOVA;AYDIN;KOCARLI;228
BALIKESIR;SAVASTEPE;BALIKESIR;BANDIRMA;228
BOLU;DORTDIVAN;BOLU;GEREDE;228
ISTANBUL;ARNAVUTKOY;ISTANBUL;KADIKOY;228
ISTANBUL;GAZIOSMANPASA;ISTANBUL;KAGITHANE;228
IZMIR;ODEMIS;IZMIR;BEYDAG;228
KOCAELI;DERINCE;KOCAELI;GOLCUK;228
ISTANBUL;BAGCILAR;ISTANBUL;ESENLER;227
ISTANBUL;AVCILAR;ISTANBUL;BAKIRKOY;227
ISTANBUL;PENDIK;ISTANBUL;UMRANIYE;227
IZMIR;BAYRAKLI;IZMIR;BALCOVA;227
MUGLA;KOYCEGIZ;MUGLA;ULA;227
KONYA;HUYUK;KONYA;KARATAY;227
AFYONKARAHISAR;BOLVADIN;AFYONKARAHISAR;CAY;227
BALIKESIR;BALIKESIR MERKEZ;BALIKESIR;BALYA;227
MALATYA;YAZIHAN;MALATYA;YESILYURT/MALATYA;226
AYDIN;AYDIN MERKEZ;AYDIN;SULTANHISAR;226
MANISA;SALIHLI;MANISA;AKHISAR;226
ISTANBUL;GUNGOREN;ISTANBUL;ESENLER;226
ISTANBUL;GUNGOREN;ISTANBUL;USKUDAR;226
TOKAT;ARTOVA;TOKAT;ZILE;226
YOZGAT;CAYIRALAN;YOZGAT;YOZGAT MERKEZ;225
TRABZON;ARSIN;TRABZON;AKCAABAT;225
CANAKKALE;EZINE;CANAKKALE;AYVACIK/CANAKKALE;225
BALIKESIR;IVRINDI;BALIKESIR;GOMEC;225
KUTAHYA;KUTAHYA MERKEZ;KUTAHYA;EMET;225
ANTALYA;MURATPASA;ANTALYA;KUMLUCA;225
MUGLA;DALAMAN;MUGLA;MARMARIS;225
IZMIR;URLA;IZMIR;TORBALI;225
ISTANBUL;BUYUKCEKMECE;ISTANBUL;SISLI;224
MARDIN;MARDIN MERKEZ;MARDIN;MIDYAT;224
AYDIN;SOKE;AYDIN;KOCARLI;224
ESKISEHIR;SIVRIHISAR;ESKISEHIR;CIFTELER;223
MUGLA;ULA;MUGLA;ORTACA;223
DENIZLI;DENIZLI MERKEZ;DENIZLI;TAVAS;223
DENIZLI;GUNEY;DENIZLI;SARAYKOY;222
ISTANBUL;USKUDAR;ISTANBUL;BAYRAMPASA;222
DENIZLI;ACIPAYAM;DENIZLI;TAVAS;222
ISTANBUL;ZEYTINBURNU;ISTANBUL;TUZLA;222
ISTANBUL;ZEYTINBURNU;ISTANBUL;PENDIK;222
ZONGULDAK;CAYCUMA;ZONGULDAK;DEVREK;222
TRABZON;YOMRA;TRABZON;AKCAABAT;222
OSMANIYE;OSMANIYE MERKEZ;OSMANIYE;HASANBEYLI;222
ANTALYA;ELMALI;ANTALYA;KORKUTELI;221
MALATYA;MALATYA MERKEZ;MALATYA;DARENDE;221
SAKARYA;GEYVE;SAKARYA;SAPANCA;221
HATAY;BELEN;HATAY;DORTYOL;221
CORUM;OSMANCIK;CORUM;KARGI;221
TOKAT;YESILYURT/TOKAT;TOKAT;TURHAL;221
TEKIRDAG;CORLU;TEKIRDAG;MURATLI;221
ISTANBUL;USKUDAR;ISTANBUL;SULTANBEYLI;220
ISTANBUL;ZEYTINBURNU;ISTANBUL;KARTAL;220
YOZGAT;AYDINCIK/YOZGAT;YOZGAT;YOZGAT MERKEZ;220
SIVAS;DOGANSAR;SIVAS;SIVAS MERKEZ;220
CANAKKALE;BAYRAMIC;CANAKKALE;BOZCAADA;220
MUGLA;FETHIYE;MUGLA;YATAGAN;220
BOLU;DORTDIVAN;BOLU;YENICAGA;220
ANTALYA;DEMRE;ANTALYA;KUMLUCA;219
EDIRNE;ENEZ;EDIRNE;EDIRNE MERKEZ;219
IZMIR;KEMALPASA;IZMIR;GAZIEMIR;219
ISTANBUL;BEYKOZ;ISTANBUL;BAYRAMPASA;219
KOCAELI;KARAMURSEL;KOCAELI;BASISKELE;219
MANISA;AKHISAR;MANISA;GOLMARMARA;219
ISTANBUL;KADIKOY;ISTANBUL;BAYRAMPASA;218
MUGLA;MUGLA MERKEZ;MUGLA;KOYCEGIZ;218
ISTANBUL;BAHCELIEVLER;ISTANBUL;UMRANIYE;218
IZMIR;BALCOVA;IZMIR;BORNOVA;218
MARDIN;MARDIN MERKEZ;MARDIN;SAVUR;218
ARTVIN;ARDANUC;ARTVIN;HOPA;218
CANAKKALE;GELIBOLU;CANAKKALE;LAPSEKI;218
ADIYAMAN;KAHTA;ADIYAMAN;GERGER;218
KONYA;TUZLUKCU;KONYA;MERAM;217
MUS;MUS MERKEZ;MUS;BULANIK;217
ISTANBUL;ADALAR;ISTANBUL;BESIKTAS;217
BURSA;NILUFER;BURSA;GEMLIK;216
IZMIR;KIRAZ;IZMIR;BAYRAKLI;216
IZMIR;URLA;IZMIR;GAZIEMIR;216
MANISA;DEMIRCI;MANISA;SARUHANLI;215
ADANA;POZANTI;ADANA;YUREGIR;215
KUTAHYA;HISARCIK;KUTAHYA;EMET;215
CANAKKALE;CAN;CANAKKALE;YENICE/CANAKKALE;215
ANTALYA;GAZIPASA;ANTALYA;KONYAALTI;215
KIRIKKALE;KIRIKKALE MERKEZ;KIRIKKALE;BAHSILI;215
ISTANBUL;BESIKTAS;ISTANBUL;SILIVRI;215
ISTANBUL;BAHCELIEVLER;ISTANBUL;MALTEPE;215
BILECIK;INHISAR;BILECIK;BILECIK MERKEZ;214
IZMIR;SEFERIHISAR;IZMIR;URLA;213
DIYARBAKIR;CERMIK;DIYARBAKIR;SUR;213
AFYONKARAHISAR;AFYONKARAHISAR MERKEZ;AFYONKARAHISAR;DINAR;213
ANKARA;KIZILCAHAMAM;ANKARA;GOLBASI/ANKARA;212
EDIRNE;UZUNKOPRU;EDIRNE;HAVSA;212
BILECIK;INHISAR;BILECIK;BOZUYUK;212
AYDIN;CINE;AYDIN;NAZILLI;212
KIRKLARELI;VIZE;KIRKLARELI;PINARHISAR;212
IZMIR;URLA;IZMIR;CIGLI;212
ISTANBUL;MALTEPE;ISTANBUL;BESIKTAS;212
ISTANBUL;SARIYER;ISTANBUL;BUYUKCEKMECE;212
MERSIN;CAMLIYAYLA;MERSIN;AKDENIZ;212
MANISA;SALIHLI;MANISA;SOMA;212
MUGLA;MUGLA MERKEZ;MUGLA;DATCA;211
BALIKESIR;BALIKESIR MERKEZ;BALIKESIR;IVRINDI;211
MANISA;SELENDI;MANISA;DEMIRCI;211
BALIKESIR;HAVRAN;BALIKESIR;AYVALIK;211
BALIKESIR;SAVASTEPE;BALIKESIR;EDREMIT/BALIKESIR;211
KONYA;BEYSEHIR;KONYA;HUYUK;211
ISTANBUL;GUNGOREN;ISTANBUL;ZEYTINBURNU;211
HATAY;BELEN;HATAY;KIRIKHAN;211
ISTANBUL;KAGITHANE;ISTANBUL;BAKIRKOY;210
IZMIR;KARSIYAKA;IZMIR;CESME;210
SAKARYA;KOCAALI;SAKARYA;ARIFIYE;210
ANTALYA;ELMALI;ANTALYA;DOSEMEALTI;210
BURSA;INEGOL;BURSA;YENISEHIR;210
AFYONKARAHISAR;SINANPASA;AFYONKARAHISAR;SANDIKLI;210
AYDIN;GERMENCIK;AYDIN;NAZILLI;210
BATMAN;SASON;BATMAN;KOZLUK;209
MUGLA;KAVAKLIDERE;MUGLA;MARMARIS;209
KASTAMONU;KURE;KASTAMONU;INEBOLU;209
ISTANBUL;TUZLA;ISTANBUL;KARTAL;209
ISTANBUL;BUYUKCEKMECE;ISTANBUL;KADIKOY;209
IZMIR;KIRAZ;IZMIR;TIRE;209
ISTANBUL;BASAKSEHIR;ISTANBUL;AVCILAR;209
KAHRAMANMARAS;KAHRAMANMARAS MERKEZ;KAHRAMANMARAS;ANDIRIN;209
ISTANBUL;ZEYTINBURNU;ISTANBUL;BEYOGLU;209
GIRESUN;GIRESUN MERKEZ;GIRESUN;KESAP;209
AFYONKARAHISAR;SUHUT;AFYONKARAHISAR;SANDIKLI;208
ADANA;TUFANBEYLI;ADANA;CEYHAN;208
MERSIN;MUT;MERSIN;GULNAR;208
ARDAHAN;CILDIR;ARDAHAN;ARDAHAN MERKEZ;208
MERSIN;AYDINCIK/ICEL;MERSIN;BOZYAZI;208
SAKARYA;FERIZLI;SAKARYA;SOGUTLU;208
VAN;ERCIS;VAN;MURADIYE;208
IZMIR;GUZELBAHCE;IZMIR;BALCOVA;208
TEKIRDAG;MALKARA;TEKIRDAG;MURATLI;208
ISTANBUL;SILE;ISTANBUL;KAGITHANE;208
BALIKESIR;GONEN/BALIKESIR;BALIKESIR;EDREMIT/BALIKESIR;207
MUGLA;BODRUM;MUGLA;MUGLA MERKEZ;207
ORDU;ORDU MERKEZ;ORDU;ULUBEY/ORDU;207
EDIRNE;HAVSA;EDIRNE;UZUNKOPRU;207
DENIZLI;KALE/DENIZLI;DENIZLI;TAVAS;207
VAN;VAN MERKEZ;VAN;OZALP;207
YOZGAT;YERKOY;YOZGAT;SORGUN;206
TOKAT;ALMUS;TOKAT;NIKSAR;206
GAZIANTEP;NIZIP;GAZIANTEP;OGUZELI;206
SANLIURFA;SURUC;SANLIURFA;BOZOVA;206
YALOVA;ALTINOVA;YALOVA;CIFTLIKKOY;206
IZMIR;TIRE;IZMIR;NARLIDERE;206
ARDAHAN;POSOF;ARDAHAN;ARDAHAN MERKEZ;206
CANAKKALE;EZINE;CANAKKALE;BAYRAMIC;206
SAKARYA;TARAKLI;SAKARYA;ERENLER;205
SAKARYA;HENDEK;SAKARYA;SAPANCA;205
SAKARYA;KARASU;SAKARYA;KOCAALI;205
GIRESUN;CANAKCI;GIRESUN;GIRESUN MERKEZ;205
ISTANBUL;BUYUKCEKMECE;ISTANBUL;GAZIOSMANPASA;205
SIIRT;SIIRT MERKEZ;SIIRT;SIRVAN;205
ISTANBUL;KAGITHANE;ISTANBUL;BEYKOZ;205
IZMIR;BORNOVA;IZMIR;CESME;204
CORUM;BOGAZKALE;CORUM;CORUM MERKEZ;204
HATAY;REYHANLI;HATAY;BELEN;204
EDIRNE;KESAN;EDIRNE;ENEZ;204
MUS;MALAZGIRT;MUS;MUS MERKEZ;204
BURSA;OSMANGAZI;BURSA;YENISEHIR;204
AYDIN;KARPUZLU;AYDIN;SOKE;204
BURSA;ORHANELI;BURSA;GEMLIK;203
ANKARA;POLATLI;ANKARA;KAZAN;203
ORDU;ORDU MERKEZ;ORDU;UNYE;203
SAKARYA;FERIZLI;SAKARYA;ARIFIYE;203
ISTANBUL;ARNAVUTKOY;ISTANBUL;SISLI;203
ISTANBUL;CEKMEKOY;ISTANBUL;BEYKOZ;203
ADANA;KOZAN;ADANA;FEKE;203
YOZGAT;SORGUN;YOZGAT;SARIKAYA;202
ANTALYA;GUNDOGMUS;ANTALYA;SERIK;202
CANAKKALE;CAN;CANAKKALE;AYVACIK/CANAKKALE;202
BURSA;GURSU;BURSA;KESTEL;202
ORDU;ULUBEY/ORDU;ORDU;GURGENTEPE;202
MANISA;SARIGOL;MANISA;SALIHLI;202
ORDU;CAMAS;ORDU;ORDU MERKEZ;202
IZMIR;URLA;IZMIR;GUZELBAHCE;202
RIZE;IKIZDERE;RIZE;PAZAR/RIZE;202
MUGLA;MARMARIS;MUGLA;ULA;201
ISTANBUL;SANCAKTEPE;ISTANBUL;UMRANIYE;201
ISTANBUL;SISLI;ISTANBUL;SILIVRI;201
ANKARA;CUBUK;ANKARA;KAZAN;201
MALATYA;YAZIHAN;MALATYA;BATTALGAZI;200
KONYA;SELCUKLU;KONYA;SARAYONU;199
DENIZLI;ACIPAYAM;DENIZLI;SERINHISAR;199
SAMSUN;ATAKUM;SAMSUN;ONDOKUZMAYIS;199
EDIRNE;IPSALA;EDIRNE;UZUNKOPRU;199
ERZURUM;ERZURUM MERKEZ;ERZURUM;ASKALE;199
AFYONKARAHISAR;AFYONKARAHISAR MERKEZ;AFYONKARAHISAR;SANDIKLI;199
IZMIR;CIGLI;IZMIR;KARABAGLAR;199
ISTANBUL;BAKIRKOY;ISTANBUL;BAYRAMPASA;199
ISTANBUL;BAGCILAR;ISTANBUL;ZEYTINBURNU;198
AFYONKARAHISAR;AFYONKARAHISAR MERKEZ;AFYONKARAHISAR;SINANPASA;198
IZMIR;NARLIDERE;IZMIR;URLA;198
ISTANBUL;SISLI;ISTANBUL;TUZLA;198
NEVSEHIR;AVANOS;NEVSEHIR;URGUP;198
BINGOL;BINGOL MERKEZ;BINGOL;SOLHAN;198
SIVAS;KOYULHISAR;SIVAS;SUSEHRI;197
SINOP;TURKELI;SINOP;AYANCIK;197
SAKARYA;AKYAZI;SAKARYA;SAPANCA;197
ISTANBUL;ARNAVUTKOY;ISTANBUL;USKUDAR;197
ISTANBUL;KADIKOY;ISTANBUL;SULTANBEYLI;197
ISTANBUL;ESENLER;ISTANBUL;BEYLIKDUZU;197
ISTANBUL;BEYKOZ;ISTANBUL;ZEYTINBURNU;197
ISTANBUL;BAHCELIEVLER;ISTANBUL;ZEYTINBURNU;196
BURDUR;BURDUR MERKEZ;BURDUR;YESILOVA;196
ISTANBUL;KADIKOY;ISTANBUL;ESENYURT;196
KARAMAN;SARIVELILER;KARAMAN;ERMENEK;196
BURSA;BUYUKORHAN;BURSA;KARACABEY;196
ANKARA;SEREFLIKOCHISAR;ANKARA;PURSAKLAR;196
ANKARA;POLATLI;ANKARA;HAYMANA;196
ISTANBUL;KAGITHANE;ISTANBUL;SULTANGAZI;196
ELAZIG;ELAZIG MERKEZ;ELAZIG;KEBAN;196
MARDIN;OMERLI;MARDIN;MIDYAT;196
DENIZLI;TAVAS;DENIZLI;ACIPAYAM;196
ADANA;ALADAG;ADANA;IMAMOGLU;196
ISTANBUL;GAZIOSMANPASA;ISTANBUL;ZEYTINBURNU;195
KARAMAN;SARIVELILER;KARAMAN;KARAMAN MERKEZ;195
ISTANBUL;GAZIOSMANPASA;ISTANBUL;MALTEPE;194
ISTANBUL;BAHCELIEVLER;ISTANBUL;BESIKTAS;194
DENIZLI;BOZKURT/DENIZLI;DENIZLI;HONAZ;194
MANISA;AKHISAR;MANISA;SALIHLI;194
HATAY;YAYLADAG;HATAY;SAMANDAGI;194
ELAZIG;PALU;ELAZIG;KARAKOCAN;194
MANISA;DEMIRCI;MANISA;SOMA;194
ANTALYA;FINIKE;ANTALYA;KONYAALTI;194
AYDIN;AYDIN MERKEZ;AYDIN;YENIPAZAR/AYDIN;194
VAN;CATAK;VAN;GEVAS;194
CANAKKALE;CAN;CANAKKALE;BAYRAMIC;194
VAN;MURADIYE;VAN;CALDIRAN;193
HATAY;ERZIN;HATAY;KIRIKHAN;193
ISTANBUL;USKUDAR;ISTANBUL;ZEYTINBURNU;193
KAHRAMANMARAS;EKINOZU;KAHRAMANMARAS;PAZARCIK;193
MANISA;DEMIRCI;MANISA;KOPRUBASI/MANISA;193
ISTANBUL;ZEYTINBURNU;ISTANBUL;SARIYER;193
ISTANBUL;BAGCILAR;ISTANBUL;BUYUKCEKMECE;193
ORDU;FATSA;ORDU;PERSEMBE;193
SAKARYA;PAMUKOVA;SAKARYA;ERENLER;193
ISTANBUL;MALTEPE;ISTANBUL;SANCAKTEPE;192
IZMIR;MENDERES;IZMIR;CIGLI;192
ISTANBUL;BAHCELIEVLER;ISTANBUL;SISLI;192
ERZURUM;HORASAN;ERZURUM;PASINLER;192
SIVAS;SIVAS MERKEZ;SIVAS;DIVRIGI;192
DENIZLI;ACIPAYAM;DENIZLI;HONAZ;191
HATAY;ALTINOZU;HATAY;DORTYOL;191
ERZURUM;HINIS;ERZURUM;AZIZIYE;191
MANISA;SALIHLI;MANISA;KOPRUBASI/MANISA;191
CANAKKALE;BOZCAADA;CANAKKALE;CANAKKALE MERKEZ;191
IZMIR;BORNOVA;IZMIR;ALIAGA;191
IZMIR;CIGLI;IZMIR;MENDERES;191
ANKARA;EVREN;ANKARA;ETIMESGUT;191
AFYONKARAHISAR;AFYONKARAHISAR MERKEZ;AFYONKARAHISAR;EMIRDAG;190
IZMIR;GAZIEMIR;IZMIR;KARSIYAKA;190
ISTANBUL;ZEYTINBURNU;ISTANBUL;BESIKTAS;190
BURSA;MUDANYA;BURSA;GEMLIK;190
KOCAELI;KARTEPE;KOCAELI;GEBZE;190
SAMSUN;SALIPAZARI;SAMSUN;TEKKEKOY;190
GAZIANTEP;YAVUZELI;GAZIANTEP;ARABAN;190
MERSIN;GULNAR;MERSIN;TARSUS;190
TEKIRDAG;MALKARA;TEKIRDAG;HAYRABOLU;190
MUGLA;MILAS;MUGLA;MARMARIS;190
ORDU;FATSA;ORDU;KUMRU;189
MANISA;GORDES;MANISA;DEMIRCI;189
AGRI;HAMUR;AGRI;TUTAK;189
ISTANBUL;KUCUKCEKMECE;ISTANBUL;MALTEPE;189
DENIZLI;CAL;DENIZLI;CIVRIL;189
