address_city;address_district;count
KONYA;GUNEYSINIR;7264
TOKAT;YESILYURT/TOKAT;7257
SIVAS;ULAS;7243
BURDUR;AGLASUN;7188
DENIZLI;CARDAK;7018
CANKIRI;ATKARACALAR;7016
GAZIANTEP;KARKAMIS;6999
SIVAS;HAFIK;6974
KASTAMONU;BOZKURT/KASTAMONU;6893
ERZINCAN;CAYIRLI;6885
DENIZLI;BEKILLI;6878
KUTAHYA;CAVDARHISAR;6856
ANTALYA;GUNDOGMUS;6856
KIRIKKALE;SULAKYURT;6727
ERZURUM;OLUR;6669
IZMIR;KARABURUN;6661
ARDAHAN;POSOF;6660
SAMSUN;YAKAKENT;6608
ELAZIG;SIVRICE;6588
ANKARA;CAMLIDERE;6538
ERZURUM;UZUNDERE;6526
KUTAHYA;SAPHANE;6500
CORUM;ORTAKOY/CORUM;6457
ORDU;GULYALI;6448
SIVAS;ALTINYAYLA/SIVAS;6423
BINGOL;KIGI;6394
ESKISEHIR;MAHMUDIYE;6361
BURSA;HARMANCIK;6351
KASTAMONU;AZDAVAY;6329
MALATYA;KULUNCAK;6323
RIZE;IYIDERE;6315
KIRKLARELI;DEMIRKOY;6294
BURDUR;KARAMANLI;6267
MALATYA;ARGUVAN;6251
KONYA;EMIRGAZI;6248
BALIKESIR;MARMARA;6240
ISPARTA;GONEN/ISPARTA;6226
EDIRNE;LALAPASA;6181
AFYONKARAHISAR;EVCILER;6175
BOLU;YENICAGA;6158
BARTIN;KURUCASILE;6103
BAYBURT;DEMIROZU;6094
AFYONKARAHISAR;BAYAT/AFYON;5974
KONYA;TUZLUKCU;5905
TOKAT;SULUSARAY;5892
ADIYAMAN;SAMSAT;5884
ISPARTA;ULUBORLU;5844
KAYSERI;AKKISLA;5841
CORUM;DODURGA;5823
RIZE;DEREPAZARI;5822
GIRESUN;GUCE;5820
ESKISEHIR;INONU;5795
CANKIRI;KORGUN;5782
TRABZON;HAYRAT;5768
CORUM;OGUZLAR;5729
EDIRNE;SULOGLU;5713
SIVAS;IMRANLI;5690
ESKISEHIR;GUNYUZU;5664
KIRIKKALE;BALISEYH;5662
KASTAMONU;CATALZEYTIN;5641
KASTAMONU;DOGANYURT;5639
DENIZLI;BABADAG;5628
KONYA;TASKENT;5604
CORUM;UGURLUDAG;5578
ESKISEHIR;BEYLIKOVA;5538
GIRESUN;CAMOLUK;5481
BOLU;SEBEN;5399
SAKARYA;TARAKLI;5398
GIRESUN;CANAKCI;5392
HAKKARI;CUKURCA;5350
KASTAMONU;KURE;5311
DENIZLI;BEYAGAC;5311
BOLU;DORTDIVAN;5273
YALOVA;ARMUTLU;5217
ERZINCAN;KEMAH;5177
ELAZIG;ALACAKAYA;5175
SINOP;DIKMEN;5071
DENIZLI;BAKLAN;5062
KAYSERI;FELAHIYE;5011
KUTAHYA;PAZARLAR;5006
BURDUR;CELTIKCI;4983
YOZGAT;YENIFAKILI;4971
KONYA;AKOREN;4927
CANAKKALE;GOKCEADA;4916
KIRIKKALE;BAHSILI;4907
GUMUSHANE;KOSE;4885
GIRESUN;DOGANKENT;4824
ORDU;KABADUZ;4818
ARDAHAN;DAMAL;4817
ELAZIG;KEBAN;4817
BAYBURT;AYDINTEPE;4815
KASTAMONU;IHSANGAZI;4792
RIZE;CAMLIHEMSIN;4790
ARTVIN;MURGUL;4764
TUNCELI;NAZIMIYE;4758
AKSARAY;SARIYAHSI;4733
CORUM;LACIN;4721
KIRSEHIR;BOZTEPE;4688
YOZGAT;CANDIR;4650
ISPARTA;ATABEY;4619
MALATYA;KALE/MALATYA;4512
KASTAMONU;PINARBASI/KASTAMONU;4465
ESKISEHIR;SARICAKAYA;4441
SIVAS;AKINCILAR;4421
RIZE;IKIZDERE;4394
ERZINCAN;ILIC;4339
TRABZON;KOPRUBASI/TRABZON;4327
TUNCELI;PULUMUR;4288
KIRSEHIR;AKCAKENT;4180
CANKIRI;BAYRAMOREN;4172
KONYA;DERBENT;4117
SINOP;SARAYDUZU;4068
BURDUR;ALTINYAYLA/BURDUR;4044
ISPARTA;AKSU;4042
KASTAMONU;SENPAZAR;4038
BINGOL;YEDISU;4002
KONYA;AHIRLI;3996
KILIS;ELBEYLI;3984
ERZINCAN;KEMALIYE;3958
KONYA;HALKAPINAR;3925
SIRNAK;GUCLUKONAK;3850
AMASYA;HAMAMOZU;3819
KIRKLARELI;PEHLIVANKOY;3817
DENIZLI;AKKOY;3757
CORUM;BOGAZKALE;3749
KAYSERI;OZVATAN;3709
ERZURUM;PAZARYOLU;3645
OSMANIYE;HASANBEYLI;3629
BATMAN;HASANKEYF;3616
KARAMAN;BASYAYLA;3610
TOKAT;BASCIFTLIK;3601
ANTALYA;IBRADI;3457
KASTAMONU;HANONU;3457
MALATYA;DOGANYOL;3431
YALOVA;TERMAL;3365
BURDUR;KEMER/BURDUR;3322
KILIS;POLATELI;3230
KARAMAN;KAZIMKARABEKIR;3226
BILECIK;YENIPAZAR/BILECIK;3155
KASTAMONU;SEYDILER;3135
ESKISEHIR;MIHALGAZI;3045
BOLU;KIBRISCIK;3008
KASTAMONU;ABANA;3004
BILECIK;INHISAR;2972
TRABZON;DERNEKPAZARI;2836
ANKARA;EVREN;2808
KARABUK;OVACIK/KARABUK;2770
SIVAS;GOLOVA;2639
KUTAHYA;DUMLUPINAR;2549
SIVAS;DOGANSAR;2528
BINGOL;YAYLADERE;2524
KASTAMONU;AGLI;2510
KIRIKKALE;KARAKECILI;2460
KIRKLARELI;KOFCAZ;2451
AFYONKARAHISAR;KIZILOREN;2318
ELAZIG;AGIN;2220
ISPARTA;YENISARBADEMLI;2081
SIIRT;AYDINLAR;2076
RIZE;HEMSIN;2004
ESKISEHIR;HAN;1923
ERZINCAN;OTLUKBELI;1742
CANAKKALE;BOZCAADA;1688
KIRIKKALE;CELEBI;1606
KONYA;YALIHUYUK;1459
