address_city;address_district;count
SAMSUN;ATAKUM;78976
GAZIANTEP;NIZIP;78357
NEVSEHIR;NEVSEHIR MERKEZ;78161
TRABZON;AKCAABAT;77605
VAN;ERCIS;77502
IZMIR;GAZIEMIR;77260
OSMANIYE;KADIRLI;76374
YALOVA;YALOVA MERKEZ;75888
BURSA;MUSTAFA K.PASA;75867
ANKARA;POLATLI;75192
KUTAHYA;TAVSANLI;74834
SANLIURFA;VIRANSEHIR;74153
IZMIR;BERGAMA;73889
ZONGULDAK;CAYCUMA;73674
MUGLA;MUGLA MERKEZ;72860
ANTALYA;SERIK;72699
MANISA;SOMA;71971
BURSA;GEMLIK;71614
MANISA;ALASEHIR;71517
ADANA;SARICAM;71249
KONYA;AKSEHIR;71229
AGRI;AGRI MERKEZ;70985
BURDUR;BURDUR MERKEZ;69166
ORDU;FATSA;69074
IGDIR;IGDIR MERKEZ;68726
KARS;KARS MERKEZ;68557
DIYARBAKIR;SUR;68309
AYDIN;DIDIM;68066
SIIRT;SIIRT MERKEZ;67321
ANTALYA;KONYAALTI;66943
SAMSUN;VEZIRKOPRU;66001
YOZGAT;YOZGAT MERKEZ;64874
TOKAT;ERBAA;64791
HATAY;KIRIKHAN;64178
CANAKKALE;BIGA;63078
ADIYAMAN;KAHTA;62866
KIRKLARELI;KIRKLARELI MERKEZ;62833
DIYARBAKIR;ERGANI;62200
AYDIN;GERMENCIK;61956
TOKAT;TURHAL;60734
IZMIR;KEMALPASA;60708
IZMIR;BALCOVA;60693
ANKARA;PURSAKLAR;59348
AYDIN;INCIRLIOVA;59322
KOCAELI;KARTEPE;58675
IZMIR;TIRE;58596
KILIS;KILIS MERKEZ;58000
YOZGAT;SORGUN;57973
SAMSUN;CANIK;57940
BURSA;KARACABEY;57676
SAKARYA;AKYAZI;57548
EDIRNE;KESAN;56850
KUTAHYA;SIMAV;56582
DIYARBAKIR;BISMIL;56108
AGRI;DOGUBAYAZIT;56028
MARDIN;DERIK;55882
BALIKESIR;GONEN/BALIKESIR;55875
AGRI;PATNOS;55857
ANKARA;GOLBASI/ANKARA;54359
BURSA;ORHANGAZI;54245
AYDIN;BOZDOGAN;54170
KAHRAMANMARAS;AFSIN;54062
SAMSUN;TERME;53826
EDIRNE;UZUNKOPRU;53797
SAKARYA;HENDEK;53543
MUGLA;MARMARIS;53513
ANKARA;CUBUK;52665
KAYSERI;TALAS;52656
SANLIURFA;SURUC;52119
HAKKARI;YUKSEKOVA;51940
ADIYAMAN;BESNI;50901
AMASYA;MERZIFON;50205
KONYA;BEYSEHIR;50040
KOCAELI;CAYIROVA;49998
KAHRAMANMARAS;PAZARCIK;49470
SAKARYA;SERDIVAN;49256
SAKARYA;ERENLER;48936
SIRNAK;CIZRE;48548
BURSA;MUDANYA;48053
OSMANIYE;DUZICI;47997
IZMIR;MENDERES;47778
HATAY;REYHANLI;47772
ZONGULDAK;DEVREK;47681
TOKAT;ZILE;47560
TOKAT;NIKSAR;46918
AYDIN;KUYUCAK;46772
BILECIK;BOZUYUK;46635
KONYA;SEYDISEHIR;46232
MERSIN;ANAMUR;45737
SANLIURFA;BIRECIK;45710
ANTALYA;KUMLUCA;45603
BALIKESIR;AYVALIK;45521
AFYONKARAHISAR;SANDIKLI;45372
DENIZLI;CIVRIL;45239
MERSIN;MUT;44978
IZMIR;ALIAGA;44781
KOCAELI;BASISKELE;44116
BURDUR;BUCAK;43271
ISTANBUL;CATALCA;43266
GIRESUN;BULANCAK;43098
SIRNAK;SILOPI;43087
CORUM;SUNGURLU;42820
KAYSERI;DEVELI;42788
TEKIRDAG;MALKARA;42764
BINGOL;GENC;42722
IZMIR;NARLIDERE;42703
DIYARBAKIR;SILVAN;42644
KONYA;ILGIN;42633
DENIZLI;ACIPAYAM;42497
MANISA;SARUHANLI;42292
TUNCELI;TUNCELI MERKEZ;41904
KONYA;CUMRA;41569
MUS;BULANIK;41392
HAKKARI;HAKKARI MERKEZ;41088
NIGDE;BOR;41021
KONYA;CIHANBEYLI;40976
SINOP;SINOP MERKEZ;40966
GAZIANTEP;ISLAHIYE;40843
ISPARTA;YALVAC;40680
BILECIK;BILECIK MERKEZ;40672
BITLIS;TATVAN;40652
AYDIN;KOCARLI;40610
KUTAHYA;GEDIZ;40474
CANAKKALE;CAN;40216
KIRKLARELI;BABAESKI;39894
DENIZLI;TAVAS;39048
AYDIN;KOSK;38802
BAYBURT;BAYBURT MERKEZ;38766
MANISA;DEMIRCI;38440
BURSA;YENISEHIR;38322
KAHRAMANMARAS;TURKOGLU;38062
KARABUK;SAFRANBOLU;37526
BALIKESIR;BIGADIC;37407
MARDIN;SAVUR;37064
BINGOL;SOLHAN;36898
BALIKESIR;BURHANIYE;36847
SAKARYA;KARASU;36702
IZMIR;URLA;36605
KOCAELI;KARAMURSEL;36587
KAHRAMANMARAS;GOKSUN;36212
ANTALYA;AKSU;36181
ANTALYA;KAS;35899
BURSA;GURSU;35764
AFYONKARAHISAR;DINAR;35660
SANLIURFA;CEYLANPINAR;35589
ANTALYA;KORKUTELI;35515
HATAY;ALTINOZU;35426
BINGOL;KARLIOVA;35150
MUGLA;YATAGAN;35064
SANLIURFA;AKCAKALE;34904
ANKARA;BEYPAZARI;34652
KOCAELI;KANDIRA;34552
MANISA;KULA;34484
YOZGAT;AKDAGMADENI;34340
BALIKESIR;DURSUNBEY;34122
BITLIS;BITLIS MERKEZ;33961
SAMSUN;TEKKEKOY;33950
ANTALYA;GAZIPASA;33882
SIRNAK;SIRNAK MERKEZ;33802
ERZURUM;AZIZIYE;33651
ZONGULDAK;ALAPLI;33558
HATAY;HASSA;33555
BURSA;KESTEL;33546
ANKARA;ELMADAG;33120
TEKIRDAG;SARAY/TEKIRDAG;33106
SAMSUN;HAVZA;33004
AMASYA;SULUOVA;32987
SAKARYA;GEYVE;32968
VAN;OZALP;32964
TRABZON;ARAKLI;32907
ANTALYA;FINIKE;32881
BURSA;IZNIK;32823
IZMIR;KIRAZ;32787
AFYONKARAHISAR;BOLVADIN;32511
BALIKESIR;SUSURLUK;32393
AYDIN;SULTANHISAR;32330
CORUM;OSMANCIK;32286
MARDIN;MAZIDAGI;32002
BALIKESIR;SINDIRGI;31973
KIRSEHIR;KAMAN;31809
IZMIR;BAYINDIR;31685
KASTAMONU;TOSYA;31680
SIVAS;YILDIZELI;31655
AFYONKARAHISAR;EMIRDAG;31586
AYDIN;KARACASU;31560
ADIYAMAN;GOLBASI/ADIYAMAN;31381
CANAKKALE;GELIBOLU;31205
KASTAMONU;TASKOPRU;30974
TOKAT;RESADIYE;30886
SINOP;BOYABAT;30861
RIZE;CAYELI;30620
KONYA;KULU;30606
KONYA;KARAPINAR;30431
SANLIURFA;BOZOVA;30394
YOZGAT;SARIKAYA;30192
MANISA;KIRKAGAC;30140
CORUM;ISKILIP;30126
TRABZON;OF;29865
MUGLA;ORTACA;29763
AFYONKARAHISAR;SINANPASA;29409
CANAKKALE;YENICE/CANAKKALE;29268
DIYARBAKIR;CINAR;29235
YOZGAT;YERKOY;29071
USAK;BANAZ;28997
MUS;MALAZGIRT;28966
BALIKESIR;IVRINDI;28758
AFYONKARAHISAR;SUHUT;28679
BATMAN;KOZLUK;28672
SIVAS;SARKISLA;28625
SIRNAK;IDIL;28622
KARS;SARIKAMIS;28381
MALATYA;DOGANSEHIR;28159
VAN;BASKALE;28139
DUZCE;AKCAKOCA;28016
USAK;ESME;27922
KARS;KAGIZMAN;27803
CORUM;ALACA;27783
MANISA;SARIGOL;27717
VAN;CALDIRAN;27681
TEKIRDAG;HAYRABOLU;27530
KAHRAMANMARAS;ANDIRIN;27430
DIYARBAKIR;CERMIK;27356
GUMUSHANE;KELKIT;27308
RIZE;ARDESEN;27245
AKSARAY;ORTAKOY;27188
ANTALYA;ELMALI;27087
SIIRT;KURTALAN;27026
ANTALYA;DOSEMEALTI;26757
MARDIN;DARGECIT;26668
ORDU;PERSEMBE;26573
SANLIURFA;HARRAN;26143
